Title,Description,Published At,URL,text,Manual Bias
"Gold smashes $3,000 milestone: Is it too late to invest, will the rally continue, and should you buy in?","Gold has already hit 13 all-time highs this year, continuing its upward streak for a second consecutive week. The surge is being driven by a mix of inflation concerns, Federal Reserve policies, and geopolitical tensions.",2025-03-14T13:04:35+00:00,https://www.businesstoday.in/markets/top-story/story/gold-smashes-3000-milestone-is-it-too-late-to-invest-will-the-rally-continue-and-should-you-buy-in-467994-2025-03-14?utm_source=rssfeed,"Gold smashes $3,000 milestone: Is it too late to invest, will the rally continue, and should you buy in?. Gold has already hit 13 all-time highs this year, continuing its upward streak for a second consecutive week. The surge is being driven by a mix of inflation concerns, Federal Reserve policies, and geopolitical tensions.",Neutral
Nava Keralam document rejects all communist ideals: Ramesh Chennithala,"Policy certifies that the CPI(M) has embraced neo-liberal ideas and crony capitalism, contradicting its own long-standing policies and programmes, says the senior Congress leader",2025-03-14T12:42:54+00:00,https://www.thehindu.com/news/national/kerala/nava-keralam-document-rejects-all-communist-ideals-ramesh-chennithala/article69330131.ece,"Nava Keralam document rejects all communist ideals: Ramesh Chennithala. Policy certifies that the CPI(M) has embraced neo-liberal ideas and crony capitalism, contradicting its own long-standing policies and programmes, says the senior Congress leader",Left-wing
"BJP accuses Congress, DMK, BRS of practising ‘divisive politics’ on delimitation","BJP accuses Congress, DMK, BRS of practising ‘divisive politics’ on delimitation",2025-03-14T12:28:02+00:00,https://www.thehindu.com/news/national/telangana/bjp-accuses-congress-dmk-brs-of-practising-divisive-politics-on-delimitation/article69330087.ece,"BJP accuses Congress, DMK, BRS of practising ‘divisive politics’ on delimitation. BJP accuses Congress, DMK, BRS of practising ‘divisive politics’ on delimitation",Right-wing
"Former Chief Justice discusses Periyar, Savarkar ideologies","Political actors stoop and exploit religious sentiments blurring lines between faith and electoral strategy, says A.P. Shah, retired Chief Justice of Madras High Court",2025-03-14T10:47:28+00:00,https://www.thehindu.com/news/national/tamil-nadu/former-chief-justice-discusses-periyar-savarkar-ideologies/article69328815.ece,"Former Chief Justice discusses Periyar, Savarkar ideologies. Political actors stoop and exploit religious sentiments blurring lines between faith and electoral strategy, says A.P. Shah, retired Chief Justice of Madras High Court",Neutral
BJP rule in Maharashtra worse than Aurangzeb’s time: Raut,"If the Mughal ruler committed atrocities, then what is the government doing, Sanjay Raut asked",2025-03-14T10:29:34+00:00,https://www.thehindu.com/news/national/maharashtra/bjp-rule-in-maharashtra-worse-than-aurangzebs-time-raut/article69329823.ece,"BJP rule in Maharashtra worse than Aurangzeb’s time: Raut. If the Mughal ruler committed atrocities, then what is the government doing, Sanjay Raut asked",Left-wing
Congress urges govt to take over liquor business in Puducherry,"The Congress will include a commitment to implement a new liquor policy in the party manifesto, says Vaithilingam",2025-03-14T10:22:04+00:00,https://www.thehindu.com/news/cities/puducherry/congress-urges-govt-to-take-over-liquor-business-in-puducherry/article69329571.ece,"Congress urges govt to take over liquor business in Puducherry. The Congress will include a commitment to implement a new liquor policy in the party manifesto, says Vaithilingam",Left-wing
"&#039;Exposed to disproportionate impacts...&#039;: Trump’s tariffs hit Tesla, Musk-led company warns of potential job losses","Tesla warns of potential retaliatory tariffs due to Trump's trade policies, affecting US automakers and exporters.",2025-03-14T08:30:46+00:00,https://www.businesstoday.in/latest/world/story/exposed-to-disproportionate-impacts-trumps-tariffs-hit-tesla-musk-led-company-warns-of-potential-job-losses-467982-2025-03-14?utm_source=rssfeed,"&#039;Exposed to disproportionate impacts...&#039;: Trump’s tariffs hit Tesla, Musk-led company warns of potential job losses. Tesla warns of potential retaliatory tariffs due to Trump's trade policies, affecting US automakers and exporters.",Right-wing
Five MLCs elected unopposed under MLAs quota in Telangna,Five MLCs elected unopposed under MLAs quota in Telangna,2025-03-14T07:06:23+00:00,https://www.thehindu.com/news/national/telangana/five-mlcs-elected-unopposed-under-mlas-quota-in-telangna/article69326952.ece,Five MLCs elected unopposed under MLAs quota in Telangna. Five MLCs elected unopposed under MLAs quota in Telangna,Right-wing
Tamil Nadu Budget 2025-26: Transpersons to be inducted into Home Guard force,"The Finance Minister said the government planned to establish three hostels for girl students with modern facilities in Chennai, Coimbatore, and Madurai",2025-03-14T06:13:08+00:00,https://www.thehindu.com/news/national/tamil-nadu/tamil-nadu-budget-2025-26-transpersons-to-be-inducted-into-home-guard-force/article69329169.ece,"Tamil Nadu Budget 2025-26: Transpersons to be inducted into Home Guard force. The Finance Minister said the government planned to establish three hostels for girl students with modern facilities in Chennai, Coimbatore, and Madurai",Neutral
Parliamentary panel recommends hike in wage rates under MGNREGA ,"The panel expressed disappointment that despite its multiple recommendations on this matter over the years, the government has not implemented any significant changes. ",2025-03-14T05:02:58+00:00,https://www.thehindu.com/news/national/parliamentary-panel-recommends-hike-in-wage-rates-under-mgnrega/article69328858.ece,"Parliamentary panel recommends hike in wage rates under MGNREGA . The panel expressed disappointment that despite its multiple recommendations on this matter over the years, the government has not implemented any significant changes. ",Neutral
The price of pet care in Hyderabad,"Pet healthcare in Hyderabad is split between affordable but limited government hospitals and costly private clinics offering advanced care. The industry also suffers from weak regulation, inflated pricing and inconsistent veterinary expertise. Siddharth Kumar Singh explores the need for expanded government services, standardised pricing and stricter oversight to bridge this gap and make pet care more accessible",2025-03-14T03:07:26+00:00,https://www.thehindu.com/news/national/telangana/the-price-of-pet-care-in-hyderabad/article69327664.ece,"The price of pet care in Hyderabad. Pet healthcare in Hyderabad is split between affordable but limited government hospitals and costly private clinics offering advanced care. The industry also suffers from weak regulation, inflated pricing and inconsistent veterinary expertise. Siddharth Kumar Singh explores the need for expanded government services, standardised pricing and stricter oversight to bridge this gap and make pet care more accessible",Neutral
"‘State govt. schemes, policy measures helped mitigate inflationary pressures’","‘State govt. schemes, policy measures helped mitigate inflationary pressures’",2025-03-13T18:03:58+00:00,https://www.thehindu.com/news/national/tamil-nadu/state-govt-schemes-policy-measures-helped-mitigate-inflationary-pressures/article69326210.ece,"‘State govt. schemes, policy measures helped mitigate inflationary pressures’. ‘State govt. schemes, policy measures helped mitigate inflationary pressures’",Neutral
Badlapur encounter: Bombay HC questions govt. for not filing FIR against accused cops,A Division Bench of Justices Revati Mohite Dere and Neela Gokhale reserved its order on whether an FIR is ought to be registered by the State government,2025-03-13T17:02:02+00:00,https://www.thehindu.com/news/cities/mumbai/badlapur-encounter-bombay-hc-questions-govt-for-not-filing-fir-against-accused-cops/article69327269.ece,Badlapur encounter: Bombay HC questions govt. for not filing FIR against accused cops. A Division Bench of Justices Revati Mohite Dere and Neela Gokhale reserved its order on whether an FIR is ought to be registered by the State government,Neutral
"Kathua killings, ongoing probe does not point to terror angle, says government official","The official reasons that if a terror group had killed the three persons, including a teenage boy, then it would have claimed responsibility by now as Pakistani groups generally leave behind a message",2025-03-13T16:17:39+00:00,https://www.thehindu.com/news/national/kathua-killings-ongoing-probe-does-not-point-to-terror-angle-says-government-official/article69327208.ece,"Kathua killings, ongoing probe does not point to terror angle, says government official. The official reasons that if a terror group had killed the three persons, including a teenage boy, then it would have claimed responsibility by now as Pakistani groups generally leave behind a message",Neutral
Four persons from Bihar held for assault at Rajiv Gandhi Government General Hospital,Four persons from Bihar held for assault at Rajiv Gandhi Government General Hospital,2025-03-13T16:17:12+00:00,https://www.thehindu.com/news/cities/chennai/four-persons-from-bihar-held-for-assault-at-rajiv-gandhi-government-general-hospital/article69326003.ece,Four persons from Bihar held for assault at Rajiv Gandhi Government General Hospital. Four persons from Bihar held for assault at Rajiv Gandhi Government General Hospital,Neutral
"MLAs of coastal districts seek ₹1,000-crore special package for infrastructure development",Members demanded the government to declare Tulu as the official language of Karnataka,2025-03-13T15:29:09+00:00,https://www.thehindu.com/news/national/karnataka/mlas-of-coastal-districts-seek-1000-crore-special-package-for-infrastructure-development/article69326939.ece,"MLAs of coastal districts seek ₹1,000-crore special package for infrastructure development. Members demanded the government to declare Tulu as the official language of Karnataka",Left-wing
"NTPC eyes Andhra Pradesh for nuke plant, State govt. yet to respond","Formal proposal has been made to the State government for sites in Nellore, Prakasam and Anakapalli districts",2025-03-13T15:10:06+00:00,https://www.thehindu.com/news/cities/Visakhapatnam/ntpc-eyes-andhra-pradesh-for-nuke-plant-state-govt-yet-to-respond/article69326929.ece,"NTPC eyes Andhra Pradesh for nuke plant, State govt. yet to respond. Formal proposal has been made to the State government for sites in Nellore, Prakasam and Anakapalli districts",Neutral
"Enhanced housing aid to benefit 17,898 in Chittoor district","State government has announced additional financial assistance of ₹50,000 to ₹1 lakh per beneficiary to support the construction of housing units for people from SC/ST and OBC communities, says Collector",2025-03-13T15:07:35+00:00,https://www.thehindu.com/news/national/andhra-pradesh/enhanced-housing-aid-to-benefit-17898-in-chittoor-district/article69326199.ece,"Enhanced housing aid to benefit 17,898 in Chittoor district. State government has announced additional financial assistance of ₹50,000 to ₹1 lakh per beneficiary to support the construction of housing units for people from SC/ST and OBC communities, says Collector",Neutral
CPI(M) condemns demolition of Kasinayana Satram,"Government’s act of recklessly targeting the dining hall, which has been serving the poor, common people, and pilgrims for centuries, is shameful, says the party State secretary",2025-03-13T15:03:20+00:00,https://www.thehindu.com/news/national/andhra-pradesh/cpim-condemns-demolition-of-kasinayana-satram/article69326497.ece,"CPI(M) condemns demolition of Kasinayana Satram. Government’s act of recklessly targeting the dining hall, which has been serving the poor, common people, and pilgrims for centuries, is shameful, says the party State secretary",Neutral
State government mulls raising retirement age for super-speciality doctors,State government mulls raising retirement age for super-speciality doctors,2025-03-13T14:58:13+00:00,https://www.thehindu.com/news/national/karnataka/state-government-mulls-raising-retirement-age-for-super-speciality-doctors/article69326652.ece,State government mulls raising retirement age for super-speciality doctors. State government mulls raising retirement age for super-speciality doctors,Right-wing
Enhance gratuity ceiling of private sector workers too to ₹25 lakh: CITU,"It will ensure parity with government employees, says CITU general secretary Tapan Sen",2025-03-13T14:43:09+00:00,https://www.thehindu.com/news/national/enhance-gratuity-ceiling-of-private-sector-workers-too-to-25-lakh-citu/article69326601.ece,"Enhance gratuity ceiling of private sector workers too to ₹25 lakh: CITU. It will ensure parity with government employees, says CITU general secretary Tapan Sen",Neutral
"HC declares installation of hoardings, boards and flags in public places illegal",Justice Devan Ramachandran made the declaration while disposing of the writ petitions against the illegal installation of such boards in public places and confirming the court’s earlier interim orders and the government circulars issued in this regard.,2025-03-13T14:38:05+00:00,https://www.thehindu.com/news/cities/Kochi/hc-declares-installation-of-hoardings-boards-and-flags-in-public-places-illegal/article69326605.ece,"HC declares installation of hoardings, boards and flags in public places illegal. Justice Devan Ramachandran made the declaration while disposing of the writ petitions against the illegal installation of such boards in public places and confirming the court’s earlier interim orders and the government circulars issued in this regard.",Neutral
Sajad Lone flays J&K reservation policy; says it is a tool to disempower Kashmiri-speaking ethnic group,"Figures suggest that the Kashmiri-speaking population who qualified for the JKAS examination was 19% in 2023, 25% in 2022 and 21% in 2021.",2025-03-13T14:36:45+00:00,https://www.thehindu.com/news/national/sajad-lone-flays-jk-reservation-policy-says-it-is-a-tool-to-disempower-kashmiri-speaking-ethnic-group/article69326188.ece,"Sajad Lone flays J&K reservation policy; says it is a tool to disempower Kashmiri-speaking ethnic group. Figures suggest that the Kashmiri-speaking population who qualified for the JKAS examination was 19% in 2023, 25% in 2022 and 21% in 2021.",Left-wing
Five MLC candidates of NDA declared as elected unopposed,There were no other contenders for the seats as YSRCP did not field its candidates in the absence of the required no. of MLAs to win a post,2025-03-13T14:32:38+00:00,https://www.thehindu.com/news/national/andhra-pradesh/five-mlc-candidates-of-nda-declared-as-elected-unopposed/article69326658.ece,Five MLC candidates of NDA declared as elected unopposed. There were no other contenders for the seats as YSRCP did not field its candidates in the absence of the required no. of MLAs to win a post,Right-wing
&#039;Tamil Nadu gives more than what it receives&#039;: Financial planner reignites debate on fiscal federalism,Questions the Centre’s frequent announcements about the financial assistance provided to Tamil Nadu while seemingly ignoring the revenue the state generates for the Union government,2025-03-13T14:06:17+00:00,https://www.businesstoday.in/latest/economy/story/tamil-nadu-gives-more-than-what-it-receives-financial-planner-reignites-debate-on-fiscal-federalism-467947-2025-03-13?utm_source=rssfeed,&#039;Tamil Nadu gives more than what it receives&#039;: Financial planner reignites debate on fiscal federalism. Questions the Centre’s frequent announcements about the financial assistance provided to Tamil Nadu while seemingly ignoring the revenue the state generates for the Union government,Right-wing
16 Stretchers donated to Thoothukudi Government Medical College Hospital,16 Stretchers donated to Thoothukudi Government Medical College Hospital,2025-03-13T13:58:35+00:00,https://www.thehindu.com/news/cities/Madurai/16-stretchers-donated-to-thoothukudi-government-medical-college-hospital/article69326286.ece,16 Stretchers donated to Thoothukudi Government Medical College Hospital. 16 Stretchers donated to Thoothukudi Government Medical College Hospital,Neutral
"U.S. President Donald Trump threatens 200% tariff on wine, champagne from France, other EU countries","Donald Trump has launched trade wars against competitors and partners alike since taking office, wielding tariffs as a tool to pressure countries on commerce and other policy issues.",2025-03-13T13:55:02+00:00,https://www.thehindu.com/news/international/us-president-donald-trump-threatens-200-tariff-on-wine-champagne-from-france-other-eu-countries/article69326547.ece,"U.S. President Donald Trump threatens 200% tariff on wine, champagne from France, other EU countries. Donald Trump has launched trade wars against competitors and partners alike since taking office, wielding tariffs as a tool to pressure countries on commerce and other policy issues.",Right-wing
Special resolution in Erode Corporation council seeks government nod to reduce property tax,Special resolution in Erode Corporation council seeks government nod to reduce property tax,2025-03-13T12:24:07+00:00,https://www.thehindu.com/news/cities/Coimbatore/special-resolution-in-erode-corporation-council-seeks-government-nod-to-reduce-property-tax/article69325685.ece,Special resolution in Erode Corporation council seeks government nod to reduce property tax. Special resolution in Erode Corporation council seeks government nod to reduce property tax,Neutral
Satire | Tamil Nadu should implement 14-language formula,"The poorer a country and its government schools, the greater should be the number of languages forced upon its children",2025-03-13T11:19:39+00:00,https://www.thehindu.com/society/satire-tamil-nadu-three-language-policy-modi-government-nep-column-g-sampath/article69313408.ece,"Satire | Tamil Nadu should implement 14-language formula. The poorer a country and its government schools, the greater should be the number of languages forced upon its children",Neutral
"No objection certificates given to establish five distilleries in Puducherry, says CM","Winding up the discussion on Lieutenant Governor K. Kailashnathan’s address in the Assembly, the Chief Minister said the NOCs issued to the distilleries would help the government raise around ₹500 crore revenue and provide jobs to 5,000 women",2025-03-13T09:27:05+00:00,https://www.thehindu.com/news/cities/puducherry/no-objection-certificates-given-to-establish-five-distilleries-in-puducherry-says-cm/article69325152.ece,"No objection certificates given to establish five distilleries in Puducherry, says CM. Winding up the discussion on Lieutenant Governor K. Kailashnathan’s address in the Assembly, the Chief Minister said the NOCs issued to the distilleries would help the government raise around ₹500 crore revenue and provide jobs to 5,000 women",Neutral
"Govt. to follow three-language policy in Puducherry, says Home Minister Namassivayam","“We will follow the three-language policy. Students interested in learning a third language can choose one,” Mr. Namassivayam said",2025-03-13T08:12:45+00:00,https://www.thehindu.com/news/cities/puducherry/govt-to-follow-three-language-policy-in-puducherry-says-home-minister-namassivayam/article69325037.ece,"Govt. to follow three-language policy in Puducherry, says Home Minister Namassivayam. “We will follow the three-language policy. Students interested in learning a third language can choose one,” Mr. Namassivayam said",Right-wing
Two Thalassery SIs transferred amid controversy over arrest of CPI(M) workers,The transfers are believed to have been made due to political pressure as both officers had taken action against CPI(M) workers in the Manolikkavu incident.,2025-03-13T08:03:12+00:00,https://www.thehindu.com/news/national/kerala/two-thalassery-sis-transferred-amid-controversy-over-arrest-of-cpim-workers/article69324901.ece,Two Thalassery SIs transferred amid controversy over arrest of CPI(M) workers. The transfers are believed to have been made due to political pressure as both officers had taken action against CPI(M) workers in the Manolikkavu incident.,Neutral
Arunachal Pradesh approves family-based ID system,"Allaying fears of government control, Deputy Chief Minister Chowna Mein said the Arun Parivar Patra identification is aimed at simplifying the distribution of benefits to the people",2025-03-13T06:19:58+00:00,https://www.thehindu.com/news/national/arunachal-pradesh/arunachal-pradesh-approves-family-based-id-system/article69322030.ece,"Arunachal Pradesh approves family-based ID system. Allaying fears of government control, Deputy Chief Minister Chowna Mein said the Arun Parivar Patra identification is aimed at simplifying the distribution of benefits to the people",Neutral
Maharashtra government to conduct MPSC exams in Marathi,"With this decision, engineering course books will now be available in Marathi. Consequently, the government has planned to prepare the syllabus for engineering examinations in Marathi and conduct competitive exams for all technical posts in the language, says CM Devendra Fadnavis",2025-03-13T03:31:48+00:00,https://www.thehindu.com/news/national/maharashtra/maharashtra-government-to-conduct-mpsc-exams-in-marathi/article69322633.ece,"Maharashtra government to conduct MPSC exams in Marathi. With this decision, engineering course books will now be available in Marathi. Consequently, the government has planned to prepare the syllabus for engineering examinations in Marathi and conduct competitive exams for all technical posts in the language, says CM Devendra Fadnavis",Neutral
A.P. govt. reclaims 12.51 acres allotted to Hayagreeva in Vizag; warning boards against encroachment put up,"The government has cancelled the allotment, citing multiple violations of land alienation norms; the stretch will be put in 22(A) category, says Collector",2025-03-13T03:16:46+00:00,https://www.thehindu.com/news/cities/Visakhapatnam/ap-govt-reclaims-1251-acres-allotted-to-hayagreeva-in-vizag-warning-boards-against-encroachment-put-up/article69322661.ece,"A.P. govt. reclaims 12.51 acres allotted to Hayagreeva in Vizag; warning boards against encroachment put up. The government has cancelled the allotment, citing multiple violations of land alienation norms; the stretch will be put in 22(A) category, says Collector",Neutral
More financial assistance for completion of houses under PMAY,"Government extends financial assistance for PMAY houses, with additional funds for SC, BC, ST, and PVTG beneficiaries",2025-03-12T22:07:49+00:00,https://www.thehindu.com/news/cities/Visakhapatnam/more-financial-assistance-for-completion-of-houses-under-pmay/article69323199.ece,"More financial assistance for completion of houses under PMAY. Government extends financial assistance for PMAY houses, with additional funds for SC, BC, ST, and PVTG beneficiaries",Neutral
Telangana government forms independent experts panel to study socio-economic survey data,Eleven member Working Group to analyse and interpret the SEEEPC data and submit its report within one month,2025-03-12T17:16:47+00:00,https://www.thehindu.com/news/national/telangana/telangana-government-forms-independent-experts-panel-to-study-socio-economic-survey-data/article69322861.ece,Telangana government forms independent experts panel to study socio-economic survey data. Eleven member Working Group to analyse and interpret the SEEEPC data and submit its report within one month,Left-wing
Parliamentary panel asks Centre to spend more on agriculture,"‘Farm labourers, who often belong to marginalised communities, are a critical part of the agricultural workforce but are frequently overlooked in policy discussions and welfare schemes,’ the committee said",2025-03-12T16:27:14+00:00,https://www.thehindu.com/news/national/parliamentary-panel-asks-centre-to-spend-more-on-agriculture/article69322518.ece,"Parliamentary panel asks Centre to spend more on agriculture. ‘Farm labourers, who often belong to marginalised communities, are a critical part of the agricultural workforce but are frequently overlooked in policy discussions and welfare schemes,’ the committee said",Left-wing
"Tamil Nadu ruined by ganja, corruption, liquor under DMK Government, says Annamalai","Tamil Nadu ruined by ganja, corruption, liquor under DMK Government, says Annamalai",2025-03-12T16:22:39+00:00,https://www.thehindu.com/news/cities/Madurai/tamil-nadu-ruined-by-ganja-corruption-liquor-under-dmk-government-says-annamalai/article69323027.ece,"Tamil Nadu ruined by ganja, corruption, liquor under DMK Government, says Annamalai. Tamil Nadu ruined by ganja, corruption, liquor under DMK Government, says Annamalai",Right-wing
Uncertainty continues over rehabilitation of Mundakkai-Chooralmala survivors,Most survivors are unhappy with the government’s rehabilitation plan; they allege that livelihood loss not considered by govt.,2025-03-12T15:37:19+00:00,https://www.thehindu.com/news/national/kerala/uncertainty-continues-over-rehabilitation-of-mundakkai-chooralmala-survivors/article69322278.ece,Uncertainty continues over rehabilitation of Mundakkai-Chooralmala survivors. Most survivors are unhappy with the government’s rehabilitation plan; they allege that livelihood loss not considered by govt.,Neutral
Only Election Commission has right to register complaint against candidate for filling false affidavit: Karnataka High Court,Only Election Commission has right to register complaint against candidate for filling false affidavit: Karnataka High Court,2025-03-12T14:59:09+00:00,https://www.thehindu.com/news/national/karnataka/only-election-commission-has-right-to-register-complaint-against-candidate-for-filling-false-affidavit-karnataka-high-court/article69322054.ece,Only Election Commission has right to register complaint against candidate for filling false affidavit: Karnataka High Court. Only Election Commission has right to register complaint against candidate for filling false affidavit: Karnataka High Court,Neutral
"BJP’s Satish Bhosale arrested in attempt to murder, NDPS cases in U.P. ","Arrest comes at a time of intensifying political tensions in Beed, a district that has been in focus for over three months following the murder of sarpanch Santosh Deshmukh",2025-03-12T14:22:10+00:00,https://www.thehindu.com/news/national/maharashtra/bjps-satish-bhosale-arrested-in-attempt-to-murder-ndps-cases-in-up/article69321735.ece,"BJP’s Satish Bhosale arrested in attempt to murder, NDPS cases in U.P. . Arrest comes at a time of intensifying political tensions in Beed, a district that has been in focus for over three months following the murder of sarpanch Santosh Deshmukh",Right-wing
Retail inflation in February 2025 slows down to 7-month low of 3.61%,The Reserve Bank of India's Monetary Policy Committee in February noted that inflation has decreased due to a positive outlook on food prices and is projected to continue to decrease in FY26,2025-03-12T10:43:27+00:00,https://www.businesstoday.in/latest/economy/story/retail-inflation-in-february-2025-slows-down-to-7-month-low-of-361-467739-2025-03-12?utm_source=rssfeed,Retail inflation in February 2025 slows down to 7-month low of 3.61%. The Reserve Bank of India's Monetary Policy Committee in February noted that inflation has decreased due to a positive outlook on food prices and is projected to continue to decrease in FY26,Neutral
Puducherry Budget: Govt. to introduce green mobility policy for faster adoption of electric and hybrid vehicles,The Budget for 2025-26 stated the government had proposed to provide subsidy towards the purchase of electric vehicles as well as 50% concession on road tax while registering such vehicles,2025-03-12T10:28:44+00:00,https://www.thehindu.com/news/cities/puducherry/puducherry-budget-govt-to-introduce-green-mobility-policy-for-faster-adoption-of-electric-and-hybrid-vehicles/article69320951.ece,Puducherry Budget: Govt. to introduce green mobility policy for faster adoption of electric and hybrid vehicles. The Budget for 2025-26 stated the government had proposed to provide subsidy towards the purchase of electric vehicles as well as 50% concession on road tax while registering such vehicles,Neutral
"Hindi, Tamil, Bengali emerges as top Indian languages among…, while Urdu, English, Gujarati, Odia sees…","Amid row of Tamil Vs Hindi grows in South India after allegation of three language formula in National Education policy, report shows growth among NEET applicants who are giving medical exams in Indian languages.",2025-03-12T09:52:01+00:00,https://www.india.com/education/hindi-tamil-bengali-emerges-as-top-indian-languages-among-neet-exam-test-takers-while-urdu-english-gujarati-odia-sees-decline-in-ratio-7676033/,"Hindi, Tamil, Bengali emerges as top Indian languages among…, while Urdu, English, Gujarati, Odia sees…. Amid row of Tamil Vs Hindi grows in South India after allegation of three language formula in National Education policy, report shows growth among NEET applicants who are giving medical exams in Indian languages.",Right-wing
I am planning to start a family. I need information on how maternity and newborn coverage works in health insurance?,"Health insurance policies with maternity benefits usually cover a variety of costs related to pregnancy and childbirth. To utilise these benefits, it is important to purchase the policy well in advance of conception due to the typical waiting period, which can range from nine months to four years.",2025-03-12T09:20:02+00:00,https://www.businesstoday.in/personal-finance/insurance/story/i-am-planning-to-start-a-family-i-need-information-on-how-maternity-and-newborn-coverage-works-in-health-insurance-467697-2025-03-12?utm_source=rssfeed,"I am planning to start a family. I need information on how maternity and newborn coverage works in health insurance?. Health insurance policies with maternity benefits usually cover a variety of costs related to pregnancy and childbirth. To utilise these benefits, it is important to purchase the policy well in advance of conception due to the typical waiting period, which can range from nine months to four years.",Neutral
Case registered against 8 CPI(M) workers for attack on BJP activist in Kerala’s Kannur,"According to the FIR, the attack was politically motivated, with the accused allegedly attempting to the kill BJP worker",2025-03-12T09:16:24+00:00,https://www.thehindu.com/news/national/kerala/case-registered-against-8-cpim-workers-for-attack-on-bjp-activist-in-keralas-kannur/article69320902.ece,"Case registered against 8 CPI(M) workers for attack on BJP activist in Kerala’s Kannur. According to the FIR, the attack was politically motivated, with the accused allegedly attempting to the kill BJP worker",Neutral
"Kerala Government blames Koodalmanikyam Devaswom Board administrator, tantric collective for discriminating against a backward-class employee","Kerala’s Devaswom Minister investigates caste discrimination against temple employee, sparking controversy and legal action",2025-03-12T07:47:37+00:00,https://www.thehindu.com/news/national/kerala/kerala-government-blames-koodalmanikyam-devaswom-board-administrator-tantric-collective-for-discriminating-against-a-backward-class-employee/article69320662.ece,"Kerala Government blames Koodalmanikyam Devaswom Board administrator, tantric collective for discriminating against a backward-class employee. Kerala’s Devaswom Minister investigates caste discrimination against temple employee, sparking controversy and legal action",Right-wing
India&#039;s total outstanding bonds: Here&#039;s a detailed breakdown,"The value of total government bonds came at $2.08 trillion (Rs 178.66 lakh crore), representing 77.6 per cent of the total amount. From this pie, government securities or G-Secs accounted for 46 per cent ($1.23 trillion or Rs 105.91 lakh crore).",2025-03-12T07:43:27+00:00,https://www.businesstoday.in/markets/story/indias-total-outstanding-bonds-heres-a-detailed-breakdown-467675-2025-03-12?utm_source=rssfeed,"India&#039;s total outstanding bonds: Here&#039;s a detailed breakdown. The value of total government bonds came at $2.08 trillion (Rs 178.66 lakh crore), representing 77.6 per cent of the total amount. From this pie, government securities or G-Secs accounted for 46 per cent ($1.23 trillion or Rs 105.91 lakh crore).",Neutral
Three-time Congress MLA Jagga Reddy to set the silver screen ablaze,Mr. Reddy clarified that he is not going away from politics and has accepted the film that is woven around his personality just for fun,2025-03-12T03:43:19+00:00,https://www.thehindu.com/news/national/telangana/three-time-congress-mla-jagga-reddy-to-set-the-silver-screen-ablaze/article69317870.ece,Three-time Congress MLA Jagga Reddy to set the silver screen ablaze. Mr. Reddy clarified that he is not going away from politics and has accepted the film that is woven around his personality just for fun,Neutral
"Pakistan Train Hijack Live: 104 passengers rescued by security forces, 16 terrorists killed; BLA demands release of Baloch activists","The Balochistan government has imposed emergency measures, with security forces being deployed to the region. Government spokesperson Shahid Rind confirmed reports of intense firing between Pehro Kunri and Gadalar.",2025-03-12T01:03:31+00:00,https://www.india.com/news/world/pakistan-train-hijack-live-updates-104-passengers-rescued-by-security-forces-16-terrorists-killed-bla-demands-release-of-baloch-activists-india-bla-peshawar-balochistan-government-baloch-7674341/,"Pakistan Train Hijack Live: 104 passengers rescued by security forces, 16 terrorists killed; BLA demands release of Baloch activists. The Balochistan government has imposed emergency measures, with security forces being deployed to the region. Government spokesperson Shahid Rind confirmed reports of intense firing between Pehro Kunri and Gadalar.",Neutral
Election Commission invites suggestions from political parties,Election Commission invites suggestions from political parties,2025-03-11T19:19:58+00:00,https://www.thehindu.com/news/national/tamil-nadu/election-commission-invites-suggestions-from-political-parties/article69317997.ece,Election Commission invites suggestions from political parties. Election Commission invites suggestions from political parties,Right-wing
"TMC, BJP delegations rally before ECI over discrepancies in WB voter list",The TMC delegation said that EPIC numbers are unique and it remains unclear as to “how many duplicate votes have been cast across various elections due to this EPIC number issue”; The BJP leaders called for an extensive review of W.B. voter list,2025-03-11T19:19:44+00:00,https://www.thehindu.com/news/national/west-bengal/tmc-bjp-delegations-rally-before-eci-over-discrepancies-in-wb-voter-list/article69317993.ece,"TMC, BJP delegations rally before ECI over discrepancies in WB voter list. The TMC delegation said that EPIC numbers are unique and it remains unclear as to “how many duplicate votes have been cast across various elections due to this EPIC number issue”; The BJP leaders called for an extensive review of W.B. voter list",Right-wing
BNP to hold rally against Greater Bengaluru Governance Bill on March 16,BNP to hold rally against Greater Bengaluru Governance Bill on March 16,2025-03-11T16:11:59+00:00,https://www.thehindu.com/news/cities/bangalore/bnp-to-hold-rally-against-greater-bengaluru-governance-bill-on-march-16/article69317215.ece,BNP to hold rally against Greater Bengaluru Governance Bill on March 16. BNP to hold rally against Greater Bengaluru Governance Bill on March 16,Right-wing
HC dismisses plea to appoint permanent dialysis technicians in government hospitals,HC dismisses plea to appoint permanent dialysis technicians in government hospitals,2025-03-11T15:33:10+00:00,https://www.thehindu.com/news/cities/Madurai/hc-dismisses-plea-to-appoint-permanent-dialysis-technicians-in-government-hospitals/article69318091.ece,HC dismisses plea to appoint permanent dialysis technicians in government hospitals. HC dismisses plea to appoint permanent dialysis technicians in government hospitals,Neutral
